image_path,mask_path,split,px_class0,px_class1,px_class2,px_class3,px_class4,px_class5,px_class6,px_class7
..\data\leftImg8bit\train\aachen\aachen_000000_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000000_000019_gtFine_labelIds.png,train,127841,860277,611938,57709,351839,38722,3858,44968
..\data\leftImg8bit\train\aachen\aachen_000001_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000001_000019_gtFine_labelIds.png,train,163857,868749,459058,24185,345442,202997,0,32864
..\data\leftImg8bit\train\aachen\aachen_000002_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000002_000019_gtFine_labelIds.png,train,132503,885203,336357,21792,607099,3476,873,109849
..\data\leftImg8bit\train\aachen\aachen_000003_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000003_000019_gtFine_labelIds.png,train,117440,883920,902196,14944,2120,170,1296,175066
..\data\leftImg8bit\train\aachen\aachen_000004_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000004_000019_gtFine_labelIds.png,train,125393,957182,653058,50815,70645,165705,13846,60508
..\data\leftImg8bit\train\aachen\aachen_000005_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000005_000019_gtFine_labelIds.png,train,142513,935089,428572,94119,285154,72506,11595,127604
..\data\leftImg8bit\train\aachen\aachen_000006_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000006_000019_gtFine_labelIds.png,train,143595,924714,35100,37424,825722,46508,4786,79303
..\data\leftImg8bit\train\aachen\aachen_000007_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000007_000019_gtFine_labelIds.png,train,136549,831575,663860,25976,393843,32604,0,12745
..\data\leftImg8bit\train\aachen\aachen_000008_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000008_000019_gtFine_labelIds.png,train,226715,915066,231828,48576,590296,54330,11066,19275
..\data\leftImg8bit\train\aachen\aachen_000009_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000009_000019_gtFine_labelIds.png,train,152312,858074,870156,28808,79012,57347,19544,31899
..\data\leftImg8bit\train\aachen\aachen_000010_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000010_000019_gtFine_labelIds.png,train,153626,814935,199783,61974,427346,3878,19680,415930
..\data\leftImg8bit\train\aachen\aachen_000011_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000011_000019_gtFine_labelIds.png,train,181136,823102,342486,18575,482615,45570,3244,200424
..\data\leftImg8bit\train\aachen\aachen_000012_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000012_000019_gtFine_labelIds.png,train,122774,881318,270765,15921,417324,37316,21408,330326
..\data\leftImg8bit\train\aachen\aachen_000013_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000013_000019_gtFine_labelIds.png,train,302302,672135,486711,17275,290358,22276,6161,299934
..\data\leftImg8bit\train\aachen\aachen_000014_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000014_000019_gtFine_labelIds.png,train,222256,795261,670546,63196,116605,58119,143991,27178
..\data\leftImg8bit\train\aachen\aachen_000015_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000015_000019_gtFine_labelIds.png,train,183171,904313,475986,39716,292714,36973,30057,134222
..\data\leftImg8bit\train\aachen\aachen_000016_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000016_000019_gtFine_labelIds.png,train,184120,963559,438206,55593,242088,108887,61341,43358
..\data\leftImg8bit\train\aachen\aachen_000017_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000017_000019_gtFine_labelIds.png,train,163173,787771,643242,72435,268328,17221,124847,20135
..\data\leftImg8bit\train\aachen\aachen_000018_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000018_000019_gtFine_labelIds.png,train,153012,830254,824658,49632,8557,98672,120858,11509
..\data\leftImg8bit\train\aachen\aachen_000019_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000019_000019_gtFine_labelIds.png,train,684831,443004,549576,85403,128257,86140,89174,30767
..\data\leftImg8bit\train\aachen\aachen_000020_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000020_000019_gtFine_labelIds.png,train,853452,224061,772876,25228,50818,0,159254,11463
..\data\leftImg8bit\train\aachen\aachen_000021_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000021_000019_gtFine_labelIds.png,train,210887,828514,786662,31740,32639,13679,106060,86971
..\data\leftImg8bit\train\aachen\aachen_000022_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000022_000019_gtFine_labelIds.png,train,850797,17036,849062,6671,0,0,128057,245529
..\data\leftImg8bit\train\aachen\aachen_000023_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000023_000019_gtFine_labelIds.png,train,117329,763409,1062023,17912,13952,43457,36861,42209
..\data\leftImg8bit\train\aachen\aachen_000024_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000024_000019_gtFine_labelIds.png,train,955790,3935,956454,32142,0,0,20438,128393
..\data\leftImg8bit\train\aachen\aachen_000025_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000025_000019_gtFine_labelIds.png,train,124497,888780,744676,52003,217217,32221,854,36904
..\data\leftImg8bit\train\aachen\aachen_000026_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000026_000019_gtFine_labelIds.png,train,147580,924124,366650,37134,490099,7856,2065,121644
..\data\leftImg8bit\train\aachen\aachen_000027_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000027_000019_gtFine_labelIds.png,train,208858,792578,606676,12585,161296,66583,4091,244485
..\data\leftImg8bit\train\aachen\aachen_000028_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000028_000019_gtFine_labelIds.png,train,170985,803147,253616,11207,575103,0,0,283094
..\data\leftImg8bit\train\aachen\aachen_000029_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000029_000019_gtFine_labelIds.png,train,124405,755723,569167,129266,292429,95780,56122,74260
..\data\leftImg8bit\train\aachen\aachen_000030_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000030_000019_gtFine_labelIds.png,train,115587,842655,514459,8055,328841,7158,468,279929
..\data\leftImg8bit\train\aachen\aachen_000031_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000031_000019_gtFine_labelIds.png,train,134940,814839,181768,29049,679456,82151,142727,32222
..\data\leftImg8bit\train\aachen\aachen_000032_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000032_000019_gtFine_labelIds.png,train,147263,973738,287384,33564,588643,35756,7312,23492
..\data\leftImg8bit\train\aachen\aachen_000033_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000033_000019_gtFine_labelIds.png,train,226864,972986,564813,37763,149586,83295,42003,19842
..\data\leftImg8bit\train\aachen\aachen_000034_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000034_000019_gtFine_labelIds.png,train,170488,761165,510085,3601,198028,47774,159,405852
..\data\leftImg8bit\train\aachen\aachen_000035_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000035_000019_gtFine_labelIds.png,train,135551,936233,788735,48409,125779,870,10393,51182
..\data\leftImg8bit\train\aachen\aachen_000036_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000036_000019_gtFine_labelIds.png,train,121151,949229,614795,45558,161786,54619,4745,145269
..\data\leftImg8bit\train\aachen\aachen_000037_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000037_000019_gtFine_labelIds.png,train,136684,829673,846231,30130,101472,6865,0,146097
..\data\leftImg8bit\train\aachen\aachen_000038_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000038_000019_gtFine_labelIds.png,train,117825,821824,1104440,693,0,0,12205,40165
..\data\leftImg8bit\train\aachen\aachen_000039_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000039_000019_gtFine_labelIds.png,train,121896,908784,695642,11689,0,0,9233,349908
..\data\leftImg8bit\train\aachen\aachen_000040_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000040_000019_gtFine_labelIds.png,train,136073,716198,838318,2673,40774,41392,640,321084
